world_timestamp,world_index,fixation_id,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf
30964.404199428536,2002,311,30964.328545428536,80.03550001012627,2.945444855667619,0.5756328105926514,0.8736138939857483,0.5756328105926514,0.8736138939857483,True
30964.404199428536,2002,312,30964.41056942854,117.99450000398792,2.969931970716285,0.5297727584838867,0.8208385705947876,0.5297727584838867,0.8208385705947876,True
30964.44017142855,2003,312,30964.41056942854,117.99450000398792,2.969931970716285,0.5435628890991211,0.8286019563674927,0.5435628890991211,0.8286019563674927,True
30964.47216042853,2004,312,30964.41056942854,117.99450000398792,2.969931970716285,0.5654493570327759,0.8403980731964111,0.5654493570327759,0.8403980731964111,True
30964.50416742853,2005,312,30964.41056942854,117.99450000398792,2.969931970716285,0.5863828063011169,0.8469416499137878,0.5863828063011169,0.8469416499137878,True
30964.540167428553,2006,312,30964.41056942854,117.99450000398792,2.969931970716285,0.6119120717048645,0.8487923741340637,0.6119120717048645,0.8487923741340637,True
30964.572184428544,2007,313,30964.562628928543,81.90649999596644,1.703663198379986,0.5308619737625122,0.8340429663658142,0.5308619737625122,0.8340429663658142,True
30964.608174428547,2008,313,30964.562628928543,81.90649999596644,1.703663198379986,0.5523222088813782,0.8431450128555298,0.5523222088813782,0.8431450128555298,True
30964.64020942853,2009,313,30964.562628928543,81.90649999596644,1.703663198379986,0.5685187578201294,0.8538188338279724,0.5685187578201294,0.8538188338279724,True
30964.672153428546,2010,314,30964.66054642854,181.99850000382867,1.663257787680001,0.5519387125968933,0.835442841053009,0.5519387125968933,0.835442841053009,True
30964.708197428554,2011,314,30964.66054642854,181.99850000382867,1.663257787680001,0.5590317845344543,0.8409135937690735,0.5590317845344543,0.8409135937690735,True
30964.74017942854,2012,314,30964.66054642854,181.99850000382867,1.663257787680001,0.562550961971283,0.8426879644393921,0.562550961971283,0.8426879644393921,True
30964.772216428537,2013,314,30964.66054642854,181.99850000382867,1.663257787680001,0.5638015270233154,0.841293454170227,0.5638015270233154,0.841293454170227,True
30964.808233428543,2014,314,30964.66054642854,181.99850000382867,1.663257787680001,0.5627273917198181,0.8391130566596985,0.5627273917198181,0.8391130566596985,True
30964.840184428554,2015,314,30964.66054642854,181.99850000382867,1.663257787680001,0.557706892490387,0.837554931640625,0.557706892490387,0.837554931640625,True
30964.908266428538,2017,315,30964.91059642854,149.9329999933252,2.7670731434513747,0.5993083119392395,0.33454254269599915,0.5993083119392395,0.33454254269599915,True
30964.94018042853,2018,315,30964.91059642854,149.9329999933252,2.7670731434513747,0.5858119130134583,0.3207705616950989,0.5858119130134583,0.3207705616950989,True
30964.97617642855,2019,315,30964.91059642854,149.9329999933252,2.7670731434513747,0.570988655090332,0.30633506178855896,0.570988655090332,0.30633506178855896,True
30965.00814342854,2020,315,30964.91059642854,149.9329999933252,2.7670731434513747,0.558234453201294,0.2920576333999634,0.558234453201294,0.2920576333999634,True
30965.040298428532,2021,315,30964.91059642854,149.9329999933252,2.7670731434513747,0.5399089455604553,0.2800582945346832,0.5399089455604553,0.2800582945346832,True
30965.07615642855,2022,315,30964.91059642854,149.9329999933252,2.7670731434513747,0.5256633162498474,0.2687109112739563,0.5256633162498474,0.2687109112739563,True
30965.07615642855,2022,316,30965.07050242854,295.99400000006426,2.809098555869743,0.6181326508522034,0.16799092292785645,0.6181326508522034,0.16799092292785645,True
30965.10815942855,2023,316,30965.07050242854,295.99400000006426,2.809098555869743,0.6092816591262817,0.15931347012519836,0.6092816591262817,0.15931347012519836,True
30965.144148428546,2024,316,30965.07050242854,295.99400000006426,2.809098555869743,0.6052737832069397,0.15382815897464752,0.6052737832069397,0.15382815897464752,True
30965.17620942855,2025,316,30965.07050242854,295.99400000006426,2.809098555869743,0.6061034798622131,0.15177267789840698,0.6061034798622131,0.15177267789840698,True
30965.208178428526,2026,316,30965.07050242854,295.99400000006426,2.809098555869743,0.606389582157135,0.1522829234600067,0.606389582157135,0.1522829234600067,True
30965.24418742853,2027,316,30965.07050242854,295.99400000006426,2.809098555869743,0.6056839823722839,0.1537189483642578,0.6056839823722839,0.1537189483642578,True
30965.276226428537,2028,316,30965.07050242854,295.99400000006426,2.809098555869743,0.6029460430145264,0.15373453497886658,0.6029460430145264,0.15373453497886658,True
30965.308205428533,2029,316,30965.07050242854,295.99400000006426,2.809098555869743,0.6002994775772095,0.15187938511371613,0.6002994775772095,0.15187938511371613,True
30965.344136428554,2030,316,30965.07050242854,295.99400000006426,2.809098555869743,0.5990858674049377,0.15094974637031555,0.5990858674049377,0.15094974637031555,True
30965.37611842854,2031,316,30965.07050242854,295.99400000006426,2.809098555869743,0.6008660793304443,0.14984345436096191,0.6008660793304443,0.14984345436096191,True
30965.844178428553,2045,317,30965.828529428545,171.99999999138527,2.767862205500855,0.33054596185684204,-0.24179433286190033,0.33054596185684204,-0.24179433286190033,False
30965.880137428554,2046,317,30965.828529428545,171.99999999138527,2.767862205500855,0.33548763394355774,-0.2648980915546417,0.33548763394355774,-0.2648980915546417,False
30965.912172428536,2047,317,30965.828529428545,171.99999999138527,2.767862205500855,0.3374233841896057,-0.2910868525505066,0.3374233841896057,-0.2910868525505066,False
30965.94825042854,2048,317,30965.828529428545,171.99999999138527,2.767862205500855,0.3407859802246094,-0.3112224340438843,0.3407859802246094,-0.3112224340438843,False
30965.98014642854,2049,317,30965.828529428545,171.99999999138527,2.767862205500855,0.33845704793930054,-0.32860055565834045,0.33845704793930054,-0.32860055565834045,False
