# timestamps [seconds],pts
38705.750000,351263
38705.785997,353622
38705.818007,355719
38705.850111,357823
38705.886054,360179
38705.917989,362272
38705.953973,364630
38705.985960,366726
38706.017935,368822
38706.053938,371181
38706.086167,373293
38706.117940,375376
38706.153960,377736
38706.186075,379841
38706.221939,382191
38706.253992,384292
38706.286003,386390
38706.321945,388745
38706.353992,390845
38706.386017,392944
38706.421995,395302
38706.453988,397398
38706.490068,399763
38706.521967,401853
38706.553942,403949
38706.589993,406312
38706.621972,408407
38706.653999,410506
38706.690004,412866
38706.722035,414965
38706.757981,417321
38706.789986,419418
38706.821985,421515
38706.857959,423873
38706.890039,425975
38706.922062,428074
38706.957953,430426
38706.989979,432525
38707.025964,434883
38707.057938,436978
38707.090060,439083
38707.125942,441435
38707.157953,443533
38707.190022,445634
38707.225947,447989
38707.257987,450089
38707.293981,452447
38707.325987,454545
38707.357981,456642
38707.393954,458999
38707.425977,461098
38707.458071,463201
38707.493991,465555
38707.526080,467658
38707.561965,470010
38707.594034,472111
38707.626035,474209
38707.662036,476568
38707.693942,478659
38707.730066,481026
38707.761968,483117
38707.794059,485220
38707.830101,487582
38707.862011,489673
38707.894060,491774
38707.930133,494138
38707.962032,496228
38707.998011,498586
38708.030032,500685
38708.062433,502808
38708.098019,505140
38708.130110,507243
38708.162039,509336
38708.198097,511699
38708.230082,513795
38708.265996,516148
38708.298350,518269
38708.330053,520346
38708.366038,522705
38708.398149,524809
38708.430211,526910
38708.466000,529256
38708.498040,531355
38708.534024,533714
38708.566041,535812
38708.598051,537910
38708.634090,540271
38708.666056,542366
38708.698227,544475
38708.734080,546824
38708.766155,548926
38708.802006,551276
38708.833990,553372
38708.866031,555472
38708.902023,557830
38708.934049,559929
38708.966009,562024
38709.001960,564380
38709.033970,566478
38709.070161,568849
38709.102056,570940
38709.134044,573036
38709.170085,575398
38709.201983,577488
38709.238378,579873
38709.270073,581951
38709.301994,584043
38709.338044,586405
38709.370072,588504
38709.402050,590600
38709.438056,592959
38709.470059,595057
38709.506056,597416
38709.538004,599509
38709.570105,601613
38709.606009,603966
38709.638060,606067
38709.670086,608165
38709.705996,610519
38709.738058,612620
38709.774000,614975
38709.806036,617075
38709.838042,619172
38709.874009,621530
38709.906117,623634
38709.937994,625723
38709.974038,628085
38710.006053,630183
38710.042069,632543
38710.074003,634636
38710.105996,636733
38710.142056,639096
38710.174010,641190
38710.206029,643288
38710.241985,645645
38710.274039,647746
38710.310039,650105
38710.341973,652198
38710.374029,654298
38710.410046,656659
38710.442045,658756
38710.474024,660852
38710.510089,663215
38710.542060,665310
38710.578028,667667
38710.610087,669768
38710.642063,671864
38710.678021,674220
38710.710096,676323
38710.745962,678673
38710.778229,680788
38710.810075,682875
38710.846053,685232
38710.878044,687329
38710.910107,689430
38710.946082,691788
38710.978040,693882
38711.014006,696239
38711.046027,698338
38711.078060,700437
38711.114054,702796
38711.146041,704892
38711.178045,706990
38711.214019,709347
38711.246032,711445
38711.282026,713804
38711.314014,715900
38711.346114,718004
38711.382060,720360
38711.413984,722452
38711.446038,724552
38711.482040,726912
38711.514008,729007
38711.550053,731369
38711.582075,733468
38711.614021,735561
38711.650082,737925
38711.682106,740023
38711.714020,742115
38711.750078,744478
38711.781970,746568
38711.818056,748933
38711.850101,751033
38711.882116,753131
38711.918039,755485
38711.950106,757587
38711.982006,759677
38712.018021,762037
38712.050057,764137
38712.086072,766497
38712.118108,768597
38712.150065,770691
38712.186045,773049
38712.218049,775146
38712.250130,777249
38712.286011,779600
38712.318035,781699
38712.354034,784058
38712.386046,786156
38712.418005,788250
38712.453998,790609
38712.486051,792710
38712.522042,795068
38712.554036,797165
38712.586097,799266
38712.622015,801620
38712.654006,803717
38712.686073,805818
38712.722026,808174
38712.754027,810272
38712.790175,812640
38712.822149,814736
38712.854047,816826
38712.890143,819192
38712.922046,821283
38712.954041,823379
38712.990104,825743
38713.022032,827835
38713.057982,830191
38713.090124,832298
38713.122027,834388
38713.158018,836747
38713.190091,838849
38713.222133,840949
38713.258077,843304
38713.290021,845398
38713.326078,847761
38713.358069,849857
38713.390147,851960
38713.426042,854312
38713.458066,856411
38713.490158,858514
38713.526043,860866
38713.558050,862963
38713.594049,865322
38713.626029,867418
38713.658032,869516
38713.694055,871876
38713.726012,873971
38713.757993,876066
38713.793990,878426
38713.825974,880522
38713.861992,882882
38713.894001,884980
38713.925960,887074
38713.962317,889457
38713.993993,891533
38714.030037,893895
38714.062267,896007
38714.094051,898090
38714.130139,900455
38714.162046,902546
38714.194033,904642
38714.230071,907004
38714.262029,909098
38714.298000,911456
38714.330061,913557
38714.362023,915652
38714.398013,918010
38714.430070,920111
38714.462094,922210
38714.497983,924562
38714.530031,926662
38714.566122,929027
38714.598063,931120
38714.630046,933216
